id,date,source,user_type,feedback_text,sentiment,feature_area
1,2026-02-01,support_ticket,enterprise,"The dashboard takes forever to load when I have more than 50 projects. I'm spending 10 minutes every morning just waiting for it to populate. This is killing my productivity.",negative,performance
2,2026-02-02,nps_survey,mid_market,"Love the new reporting feature! Finally I can pull the numbers my VP asks for without exporting to Excel. Only wish I could schedule reports to auto-send weekly.",positive,reporting
3,2026-02-03,support_ticket,enterprise,"We need SSO. This is a dealbreaker for our security team. Every vendor we use supports SAML and you don't. We can't renew without it.",negative,authentication
4,2026-02-05,user_interview,startup,"I use the product daily but honestly I forget half the features exist. The onboarding showed me the basics but I never learned about templates or automations. Found them by accident 3 months in.",neutral,onboarding
5,2026-02-06,app_store_review,startup,"Great tool for small teams. Easy to set up. Wish the mobile app had offline mode -- I'm often on job sites with no signal and can't check my tasks.",positive,mobile
6,2026-02-07,support_ticket,mid_market,"The notification settings are impossible to figure out. I get 40+ emails a day from your tool. I've tried adjusting settings 3 times and nothing changes. Please fix this.",negative,notifications
7,2026-02-08,nps_survey,enterprise,"Our team has grown from 15 to 80 users and the product has scaled well. The admin panel could use work though -- managing permissions for 80 people is painful. We need role-based access.",neutral,admin
8,2026-02-10,user_interview,mid_market,"The integration with Slack is the reason we chose you over competitors. Being able to create tasks from Slack messages saves my team probably 2 hours a week.",positive,integrations
9,2026-02-11,support_ticket,startup,"I accidentally deleted a project and there's no way to recover it. 3 months of work gone. You need a trash/archive feature or at least a confirmation dialog that's harder to miss.",negative,data_safety
10,2026-02-12,churn_survey,mid_market,"We're switching to Asana. Your tool was great when we were 10 people but the lack of timeline view and resource management makes it impossible to coordinate across teams now.",negative,planning
11,2026-02-14,nps_survey,enterprise,"10/10. The API is excellent. We built a custom integration with our CRM in a weekend. Documentation was clear and the support team helped us troubleshoot one edge case quickly.",positive,api
12,2026-02-15,support_ticket,startup,"Can you please add a way to duplicate a project? I create the same type of project every month and rebuilding it from scratch each time is tedious. Templates would work too.",neutral,templates
13,2026-02-16,user_interview,enterprise,"We love the product but reporting is our biggest gap. I need to show utilization rates and project health across 12 teams. Right now I'm pulling data into Google Sheets manually every Friday.",negative,reporting
14,2026-02-18,app_store_review,mid_market,"App crashes constantly on Android. Works fine on my iPhone but my 3 Android team members can barely use it. This has been an issue for months.",negative,mobile
15,2026-02-19,support_ticket,enterprise,"We need audit logs. When a task gets changed or reassigned we have no way to see who did it or when. Compliance requires this and we're getting pressure from legal.",negative,compliance
16,2026-02-20,nps_survey,startup,"Simple and clean. Does what it says. I don't need 500 features -- I need a tool that doesn't get in my way. This is it. 9/10.",positive,general
17,2026-02-21,user_interview,mid_market,"Onboarding was rough. It took our team 3 weeks to feel comfortable. The getting started guide assumes you know project management terminology. Half my team are designers and they were lost.",negative,onboarding
18,2026-02-22,support_ticket,enterprise,"The export to PDF feature is broken. It's been broken for at least 2 months. We use PDF exports for client reporting and we've had to screenshot everything instead. Very frustrating.",negative,reporting
19,2026-02-23,churn_survey,startup,"Too expensive for what we get. At $15/user/month we were paying $180/month for basic project tracking. Monday.com gives us more for less.",negative,pricing
20,2026-02-25,nps_survey,mid_market,"Good product. Would be great if you had a Gantt chart view. We do a lot of sequential project work and the board view doesn't show dependencies well.",neutral,planning
21,2026-02-26,support_ticket,enterprise,"Request: ability to set custom fields on tasks. Every team has different metadata they need to track and the fixed fields don't work for everyone.",neutral,customization
22,2026-02-27,user_interview,startup,"I tried the AI features and they're actually useful. The task summary thing saved me time. But the AI-generated descriptions were sometimes wrong and there's no way to tell it about our product context.",positive,ai_features
23,2026-02-28,support_ticket,mid_market,"Calendar integration doesn't sync both ways. If I move a task deadline in your tool it updates my calendar but if I move it in Google Calendar nothing happens. This causes constant confusion.",negative,integrations
24,2026-03-01,nps_survey,enterprise,"We've been a customer for 2 years. The product keeps getting better. The recent update to the dashboard was a big improvement. Keep going in this direction.",positive,general
25,2026-03-02,app_store_review,startup,"Wish I could use this offline. I travel a lot and airport WiFi is unreliable. Let me at least view my tasks offline and sync when I reconnect.",neutral,mobile
26,2026-03-03,support_ticket,mid_market,"Our billing page shows the wrong number of seats. We have 24 users but we're being billed for 28. This has happened twice now. Someone needs to fix the seat count logic.",negative,billing
27,2026-03-04,user_interview,enterprise,"The biggest thing holding us back from rolling this out company-wide is the lack of single sign-on. IT won't approve any tool without SAML or OIDC support. Period.",negative,authentication
28,2026-03-05,nps_survey,mid_market,"I love that I can customize my workspace. The board view with custom columns is exactly how my brain works. Took 5 minutes to set up and now I use it every day.",positive,customization
29,2026-03-06,support_ticket,startup,"Feature request: recurring tasks. I have weekly reports and monthly reviews that I create manually every time. Let me set a task to repeat on a schedule.",neutral,automation
30,2026-03-07,churn_survey,enterprise,"We're consolidating tools. Your product does project management well but we need something that also handles resource planning and time tracking. We chose Wrike because it's all-in-one.",negative,planning
