month,sessions,unique_visitors,page_views,avg_session_duration_sec,bounce_rate,signup_starts,signup_completes,trial_to_paid,source,top_landing_page
2025-07,42300,31200,128400,185,0.58,890,534,0.12,organic,/features
2025-07,18700,14100,52200,142,0.65,380,209,0.09,paid_search,/pricing
2025-07,8900,7200,22400,210,0.42,290,203,0.18,referral,/case-studies
2025-07,12400,9800,31000,95,0.72,120,48,0.06,social,/blog/project-management-tips
2025-08,45100,33400,138200,190,0.56,940,573,0.13,organic,/features
2025-08,21200,16000,59800,148,0.63,420,235,0.10,paid_search,/pricing
2025-08,9400,7600,24100,215,0.40,310,220,0.19,referral,/case-studies
2025-08,14800,11200,35600,88,0.74,135,51,0.05,social,/blog/remote-team-tools
2025-09,48700,36100,152800,195,0.54,1020,622,0.14,organic,/features
2025-09,19800,14900,55400,138,0.66,390,210,0.08,paid_search,/pricing
2025-09,10200,8300,26800,220,0.38,340,245,0.20,referral,/case-studies
2025-09,11600,9100,28200,92,0.71,110,42,0.04,social,/blog/ai-productivity
2025-10,52400,38800,168200,202,0.52,1100,682,0.15,organic,/features
2025-10,22100,16700,63400,145,0.62,450,252,0.11,paid_search,/pricing
2025-10,11800,9500,31200,225,0.36,380,274,0.21,referral,/case-studies
2025-10,13200,10400,32800,98,0.70,128,52,0.06,social,/blog/team-collaboration
2025-11,49800,36900,158400,198,0.55,1050,641,0.13,organic,/features
2025-11,20400,15300,57200,140,0.64,410,225,0.09,paid_search,/pricing
2025-11,10600,8600,27800,218,0.39,350,248,0.19,referral,/case-studies
2025-11,15400,12000,37200,85,0.73,140,53,0.05,social,/blog/product-launch-checklist
2025-12,38200,28400,118600,175,0.61,780,452,0.11,organic,/features
2025-12,15600,11800,43800,130,0.68,310,167,0.08,paid_search,/pricing
2025-12,8100,6500,20200,200,0.44,260,179,0.17,referral,/case-studies
2025-12,9800,7600,23400,80,0.76,95,34,0.04,social,/blog/year-in-review
2026-01,55200,41000,178400,208,0.51,1180,732,0.16,organic,/features
2026-01,24300,18400,70200,152,0.60,490,280,0.12,paid_search,/pricing
2026-01,12400,10100,33600,228,0.35,410,299,0.22,referral,/case-studies
2026-01,16200,12800,39800,102,0.69,155,63,0.07,social,/blog/2026-pm-tools
2026-02,58400,43200,192600,215,0.49,1260,790,0.17,organic,/features
2026-02,25800,19500,74800,155,0.58,520,298,0.13,paid_search,/pricing
2026-02,13100,10600,35800,232,0.34,440,322,0.23,referral,/case-studies
2026-02,17800,14000,43600,108,0.67,170,72,0.08,social,/blog/ai-for-pms
2026-03,61200,45400,204800,220,0.48,1340,845,0.18,organic,/features
2026-03,27100,20500,79200,158,0.57,550,319,0.14,paid_search,/pricing
2026-03,14200,11500,38800,235,0.33,480,352,0.24,referral,/case-studies
2026-03,19400,15300,47800,112,0.66,185,79,0.09,social,/blog/pm-career-growth
