response_id,submitted_date,respondent_role,company_size,industry,q1_overall_satisfaction,q2_most_valuable_feature,q3_biggest_frustration,q4_likelihood_to_recommend,q5_what_would_you_improve,q6_how_often_do_you_use
1,2026-02-01,Project Manager,150,Technology,4,Task management and assignments,The notification system overwhelms my inbox,8,Better notification controls - let me choose exactly what I get notified about,daily
2,2026-02-01,Marketing Manager,45,Marketing Agency,3,Slack integration is amazing,No cross-project view - I can't see everything due this week in one place,6,Add a portfolio or multi-project dashboard view,daily
3,2026-02-02,Engineering Lead,300,Financial Services,5,API quality and documentation,Nothing major - works well for our team,9,More admin controls for large teams would be nice,daily
4,2026-02-02,Operations Manager,80,Healthcare,2,The basic task tracking is clean,Onboarding was terrible - my team almost gave up the first week,4,Completely redo the onboarding. Assume people don't know PM jargon.,weekly
5,2026-02-03,Product Manager,200,SaaS,4,Competitive analysis-friendly structure,Can't do timeline or dependency views,7,Add a Gantt chart or timeline view. We need to see how tasks connect.,daily
6,2026-02-03,Designer,25,Creative Agency,3,Simple and not bloated like other tools,Mobile app is unreliable on Android,6,Fix the Android app. It crashes constantly.,weekly
7,2026-02-04,CEO,12,Startup,5,Just works - no unnecessary complexity,Nothing - it's perfect for our size,10,Don't add features just to add features. Keep it simple.,daily
8,2026-02-04,VP of Marketing,250,E-commerce,3,Board view is intuitive,PDF exports have been broken for weeks,5,Fix bugs faster. When something breaks it takes too long to resolve.,weekly
9,2026-02-05,Program Manager,400,Enterprise Software,2,Nothing stands out honestly,No SSO and no audit logs - we can't pass security review,3,SSO and compliance features. Without them we'll have to switch tools.,daily
10,2026-02-05,Scrum Master,100,Technology,4,Sprint board and backlog management,The mobile experience is subpar compared to desktop,7,Invest in mobile. My team checks tasks on the go and the app doesn't keep up.,daily
11,2026-02-06,Marketing Coordinator,35,Non-profit,4,Easy to learn the basics,Wish I could set up recurring tasks for our monthly reports,8,Recurring tasks and templates would save me 30 minutes every week,daily
12,2026-02-06,Director of Product,180,FinTech,3,Feature is solid for individual work,Collaboration features are weak - comments get lost and there's no real-time editing,5,Better collaboration. We use Google Docs for anything that needs multiple editors.,weekly
13,2026-02-07,Project Coordinator,60,Construction,2,Task assignments are clear,No offline mode. My team works on job sites with no internet.,4,Offline support. Even read-only access to our tasks would help.,weekly
14,2026-02-07,Head of People Ops,90,HR Tech,4,Custom workflows saved us a lot of manual process,Would love the ability to create custom fields per team,8,Custom fields on tasks so each department can track what matters to them,daily
15,2026-02-08,Freelancer,1,Independent,5,Free tier is generous,Nothing at my scale,9,Keep the free tier available for solo users,weekly
16,2026-02-08,VP Engineering,350,Cloud Infrastructure,1,The API is decent,No SSO makes this a non-starter for our security requirements. We're evaluating alternatives.,2,SSO. Full stop. Nothing else matters until you have SSO.,daily
17,2026-02-10,Product Manager,120,EdTech,4,AI features are surprisingly useful,AI doesn't know anything about our product context - suggestions are generic,7,Let the AI learn about our product and processes so it gives relevant suggestions,daily
18,2026-02-10,Account Manager,50,Professional Services,3,Client-facing project views are decent,Can't bulk edit tasks. Reassigning 30 tasks one by one is painful.,6,Bulk actions. Select multiple tasks and change assignee/status/dates all at once.,daily
19,2026-02-11,CTO,15,Startup,4,Simple enough that non-technical team members use it,The pricing feels high for what we get compared to alternatives,7,More competitive pricing for small teams under 20 users,daily
20,2026-02-11,Design Lead,75,Media,3,Visual board layout,No dark mode - my entire design team works in dark mode everywhere else,6,Dark mode. It's 2026.,daily
21,2026-02-12,Engineering Manager,200,Logistics,4,Dependencies between tasks are clear,Reporting is too basic. I can't build custom reports or dashboards.,7,Custom reporting and dashboards. I need to show utilization and velocity to leadership.,daily
22,2026-02-12,Marketing Director,110,Retail,3,Campaign tracking templates,The search function is weak - can't find tasks across archived projects,5,Better search. Let me find anything regardless of project status.,weekly
23,2026-02-13,Product Owner,85,Insurance,4,Backlog management is solid,Integrations are hit or miss. JIRA sync breaks monthly.,7,More reliable integrations. When they break it disrupts our entire workflow.,daily
24,2026-02-14,Operations Lead,40,Food & Beverage,5,Clean UI and fast load times,Honestly can't complain at our scale,9,Maybe a mobile widget for quick task creation,daily
25,2026-02-14,PMO Director,500,Consulting,2,Nothing at enterprise scale works well enough,No resource management. I can't see who is overloaded or underutilized across projects.,3,Resource management and capacity planning. We manage 200+ consultants and have zero visibility.,weekly
